type	id	label	language
ability	18	Absorbe Fuego	Spanish
ability	18	Fuocardore	Italian
ability	18	Flash Fire	English
ability	19	りんぷん	Japanese
ability	19	인분	Korean
ability	19	鱗粉	Chinese
ability	19	Écran Poudre	French
ability	19	Puderabwehr	German
ability	19	Polvo Escudo	Spanish
ability	19	Polvoscudo	Italian
ability	19	Shield Dust	English
ability	20	マイペース	Japanese
ability	20	마이페이스	Korean
ability	20	我行我素	Chinese
ability	20	Tempo Perso	French
ability	20	Tempomacher	German
ability	20	Ritmo Propio	Spanish
ability	20	Mente Locale	Italian
ability	20	Own Tempo	English
ability	21	きゅうばん	Japanese
ability	21	흡반	Korean
ability	21	吸盤	Chinese
ability	21	Ventouse	French
ability	21	Saugnapf	German
ability	21	Ventosas	Spanish
ability	21	Ventose	Italian
ability	21	Suction Cups	English
ability	22	いかく	Japanese
ability	22	위협	Korean
ability	22	威嚇	Chinese
ability	22	Intimidation	French
ability	22	Bedroher	German
ability	22	Intimidación	Spanish
ability	22	Prepotenza	Italian
ability	22	Intimidate	English
ability	23	かげふみ	Japanese
ability	23	그림자밟기	Korean
ability	23	踩影	Chinese
ability	23	Marque Ombre	French
ability	23	Wegsperre	German
ability	23	Sombra Trampa	Spanish
ability	23	Pedinombra	Italian
ability	23	Shadow Tag	English
ability	24	さめはだ	Japanese
ability	24	까칠한피부	Korean
ability	24	粗糙皮膚	Chinese
ability	24	Peau Dure	French
ability	24	Rauhaut	German
ability	24	Piel Tosca	Spanish
ability	24	Cartavetro	Italian
ability	24	Rough Skin	English
ability	25	ふしぎなまもり	Japanese
ability	25	불가사의부적	Korean
ability	25	神奇守護	Chinese
ability	25	Garde Mystik	French
ability	25	Wunderwache	German
ability	25	Superguarda	Spanish
ability	25	Magidifesa	Italian
ability	25	Wonder Guard	English
ability	26	ふゆう	Japanese
ability	26	부유	Korean
ability	26	飄浮	Chinese
ability	26	Lévitation	French
ability	26	Schwebe	German
ability	26	Levitación	Spanish
ability	26	Levitazione	Italian
ability	26	Levitate	English
ability	27	ほうし	Japanese
ability	27	포자	Korean
ability	27	孢子	Chinese
ability	27	Pose Spore	French
ability	27	Sporenwirt	German
ability	27	Efecto Espora	Spanish
ability	27	Spargispora	Italian
ability	27	Effect Spore	English
ability	28	シンクロ	Japanese
ability	28	싱크로	Korean
ability	28	同步	Chinese
ability	28	Synchro	French
ability	28	Synchro	German
ability	28	Sincronía	Spanish
ability	28	Sincronismo	Italian
ability	28	Synchronize	English
ability	29	クリアボディ	Japanese
ability	29	클리어바디	Korean
ability	29	恆淨之軀	Chinese
ability	29	Corps Sain	French
ability	29	Neutraltorso	German
ability	29	Cuerpo Puro	Spanish
ability	29	Corpochiaro	Italian
ability	29	Clear Body	English
ability	30	しぜんかいふく	Japanese
ability	30	자연회복	Korean
ability	30	自然回復	Chinese
ability	30	Médic Nature	French
ability	30	Innere Kraft	German
ability	30	Cura Natural	Spanish
ability	30	Alternacura	Italian
ability	30	Natural Cure	English
ability	31	ひらいしん	Japanese
ability	31	피뢰침	Korean
ability	31	避雷針	Chinese
ability	31	Paratonnerre	French
ability	31	Blitzfänger	German
ability	31	Pararrayos	Spanish
ability	31	Parafulmine	Italian
ability	31	Lightning Rod	English
ability	32	てんのめぐみ	Japanese
ability	32	하늘의은총	Korean
ability	32	天恩	Chinese
ability	32	Sérénité	French
ability	32	Edelmut	German
ability	32	Dicha	Spanish
ability	32	Leggiadro	Italian
ability	32	Serene Grace	English
ability	33	すいすい	Japanese
ability	33	쓱쓱	Korean
ability	33	悠游自如	Chinese
ability	33	Glissade	French
ability	33	Wassertempo	German
ability	33	Nado Rápido	Spanish
ability	33	Nuotovelox	Italian
ability	33	Swift Swim	English
ability	34	ようりょくそ	Japanese
ability	34	엽록소	Korean
ability	34	葉綠素	Chinese
ability	34	Chlorophylle	French
ability	34	Chlorophyll	German
ability	34	Clorofila	Spanish
ability	34	Clorofilla	Italian
ability	34	Chlorophyll	English
ability	35	はっこう	Japanese
ability	35	발광	Korean
ability	35	發光	Chinese
ability	35	Lumiattirance	French
ability	35	Erleuchtung	German
ability	35	Iluminación	Spanish
ability	35	Risplendi	Italian
ability	35	Illuminate	English
ability	36	トレース	Japanese
ability	36	트레이스	Korean
ability	36	複製	Chinese
ability	36	Calque	French
ability	36	Erfassen	German
ability	36	Rastro	Spanish
ability	36	Traccia	Italian
ability	36	Trace	English
ability	37	ちからもち	Japanese
ability	37	천하장사	Korean
ability	37	大力士	Chinese
ability	37	Coloforce	French
ability	37	Kraftkoloss	German
ability	37	Potencia	Spanish
ability	37	Macroforza	Italian
ability	37	Huge Power	English
ability	38	どくのトゲ	Japanese
ability	38	독가시	Korean
ability	38	毒刺	Chinese
ability	38	Point Poison	French
ability	38	Giftdorn	German
ability	38	Punto Tóxico	Spanish
ability	38	Velenopunto	Italian
ability	38	Poison Point	English
ability	39	せいしんりょく	Japanese
ability	39	정신력	Korean
ability	39	精神力	Chinese
ability	39	Attention	French
ability	39	Konzentrator	German
ability	39	Foco Interno	Spanish
ability	39	Forza Interiore	Italian
ability	39	Inner Focus	English
ability	40	マグマのよろい	Japanese
ability	40	마그마의무장	Korean
ability	40	熔岩鎧甲	Chinese
ability	40	Armumagma	French
ability	40	Magmapanzer	German
ability	40	Escudo Magma	Spanish
ability	40	Magmascudo	Italian
ability	40	Magma Armor	English
ability	41	みずのベール	Japanese
ability	41	수의베일	Korean
ability	41	水幕	Chinese
ability	41	Ignifu-Voile	French
ability	41	Aquahülle	German
ability	41	Velo Agua	Spanish
ability	41	Idrovelo	Italian
ability	41	Water Veil	English
ability	42	じりょく	Japanese
ability	42	자력	Korean
ability	42	磁力	Chinese
ability	42	Magnépiège	French
ability	42	Magnetfalle	German
ability	42	Imán	Spanish
ability	42	Magnetismo	Italian
ability	42	Magnet Pull	English
ability	43	ぼうおん	Japanese
ability	43	방음	Korean
ability	43	隔音	Chinese
ability	43	Anti-Bruit	French
ability	43	Lärmschutz	German
ability	43	Insonorizar	Spanish
ability	43	Antisuono	Italian
ability	43	Soundproof	English
ability	44	あめうけざら	Japanese
ability	44	젖은접시	Korean
ability	44	雨盤	Chinese
ability	44	Cuvette	French
ability	44	Regengenuss	German
ability	44	Cura Lluvia	Spanish
ability	44	Copripioggia	Italian
ability	44	Rain Dish	English
ability	45	すなおこし	Japanese
ability	45	모래날림	Korean
ability	45	揚沙	Chinese
ability	45	Sable Volant	French
ability	45	Sandsturm	German
ability	45	Chorro Arena	Spanish
ability	45	Sabbiafiume	Italian
ability	45	Sand Stream	English
ability	46	プレッシャー	Japanese
ability	46	프레셔	Korean
ability	46	壓迫感	Chinese
ability	46	Pression	French
ability	46	Erzwinger	German
ability	46	Presión	Spanish
ability	46	Pressione	Italian
ability	46	Pressure	English
ability	47	あついしぼう	Japanese
ability	47	두꺼운지방	Korean
ability	47	厚脂肪	Chinese
ability	47	Isograisse	French
ability	47	Speckschicht	German
ability	47	Sebo	Spanish
ability	47	Grassospesso	Italian
ability	47	Thick Fat	English
ability	48	はやおき	Japanese
ability	48	일찍기상	Korean
ability	48	早起	Chinese
ability	48	Matinal	French
ability	48	Frühwecker	German
ability	48	Madrugar	Spanish
ability	48	Sveglialampo	Italian
ability	48	Early Bird	English
ability	49	ほのおのからだ	Japanese
ability	49	불꽃몸	Korean
ability	49	火焰之軀	Chinese
ability	49	Corps Ardent	French
ability	49	Flammkörper	German
ability	49	Cuerpo Llama	Spanish
ability	49	Corpodifuoco	Italian
ability	49	Flame Body	English
ability	50	にげあし	Japanese
ability	50	도주	Korean
ability	50	逃跑	Chinese
ability	50	Fuite	French
ability	50	Angsthase	German
ability	50	Fuga	Spanish
ability	50	Fugafacile	Italian
ability	50	Run Away	English
ability	51	するどいめ	Japanese
ability	51	날카로운눈	Korean
ability	51	銳利目光	Chinese
ability	51	Regard Vif	French
ability	51	Adlerauge	German
ability	51	Vista Lince	Spanish
ability	51	Sguardofermo	Italian
ability	51	Keen Eye	English
ability	52	かいりきバサミ	Japanese
ability	52	괴력집게	Korean
ability	52	怪力鉗	Chinese
ability	52	Hyper Cutter	French
ability	52	Scherenmacht	German
ability	52	Corte Fuerte	Spanish
ability	52	Ipertaglio	Italian
ability	52	Hyper Cutter	English
ability	53	ものひろい	Japanese
ability	53	픽업	Korean
ability	53	撿拾	Chinese
ability	53	Ramassage	French
ability	53	Mitnahme	German
ability	53	Recogida	Spanish
ability	53	Raccolta	Italian
ability	53	Pickup	English
ability	54	なまけ	Japanese
ability	54	게으름	Korean
ability	54	懶惰	Chinese
ability	54	Absentéisme	French
ability	54	Schnarchnase	German
ability	54	Ausente	Spanish
ability	54	Pigrone	Italian
ability	54	Truant	English
ability	55	はりきり	Japanese
ability	55	의욕	Korean
ability	55	活力	Chinese
ability	55	Agitation	French
ability	55	Übereifer	German
ability	55	Entusiasmo	Spanish
ability	55	Tuttafretta	Italian
ability	55	Hustle	English
ability	56	メロメロボディ	Japanese
ability	56	헤롱헤롱바디	Korean
ability	56	迷人之軀	Chinese
ability	56	Joli Sourire	French
ability	56	Charmebolzen	German
ability	56	Gran Encanto	Spanish
ability	56	Incantevole	Italian
ability	56	Cute Charm	English
ability	57	プラス	Japanese
ability	57	플러스	Korean
ability	57	正電	Chinese
ability	57	Plus	French
ability	57	Plus	German
ability	57	Más	Spanish
ability	57	Più	Italian
ability	57	Plus	English
ability	58	マイナス	Japanese
ability	58	마이너스	Korean
ability	58	負電	Chinese
ability	58	Moins	French
ability	58	Minus	German
ability	58	Menos	Spanish
ability	58	Meno	Italian
ability	58	Minus	English
ability	59	てんきや	Japanese
ability	59	기분파	Korean
ability	59	陰晴不定	Chinese
ability	59	Météo	French
ability	59	Prognose	German
ability	59	Predicción	Spanish
ability	59	Previsioni	Italian
ability	59	Forecast	English
ability	60	ねんちゃく	Japanese
ability	60	점착	Korean
ability	60	黏著	Chinese
ability	60	Glu	French
ability	60	Klebekörper	German
ability	60	Viscosidad	Spanish
ability	60	Antifurto	Italian
ability	60	Sticky Hold	English
ability	61	だっぴ	Japanese
ability	61	탈피	Korean
ability	61	蛻皮	Chinese
ability	61	Mue	French
ability	61	Expidermis	German
ability	61	Mudar	Spanish
ability	61	Muta	Italian
ability	61	Shed Skin	English
ability	62	こんじょう	Japanese
ability	62	근성	Korean
ability	62	毅力	Chinese
ability	62	Cran	French
ability	62	Adrenalin	German
ability	62	Agallas	Spanish
ability	62	Dentistretti	Italian
ability	62	Guts	English
ability	63	ふしぎなうろこ	Japanese
ability	63	이상한비늘	Korean
ability	63	神奇鱗片	Chinese
ability	63	Écaille Spéciale	French
ability	63	Notschutz	German
ability	63	Escama Especial	Spanish
ability	63	Pelledura	Italian
ability	63	Marvel Scale	English
ability	64	ヘドロえき	Japanese
ability	64	해감액	Korean
ability	64	污泥漿	Chinese
ability	64	Suintement	French
ability	64	Kloakensoße	German
ability	64	Lodo Líquido	Spanish
ability	64	Melma	Italian
ability	64	Liquid Ooze	English
ability	65	しんりょく	Japanese
ability	65	심록	Korean
ability	65	茂盛	Chinese
ability	65	Engrais	French
ability	65	Notdünger	German
ability	65	Espesura	Spanish
ability	65	Erbaiuto	Italian
ability	65	Overgrow	English
ability	66	もうか	Japanese
ability	66	맹화	Korean
ability	66	猛火	Chinese
ability	66	Brasier	French
ability	66	Großbrand	German
ability	66	Mar Llamas	Spanish
ability	66	Aiutofuoco	Italian
ability	66	Blaze	English
ability	67	げきりゅう	Japanese
ability	67	급류	Korean
ability	67	激流	Chinese
ability	67	Torrent	French
ability	67	Sturzbach	German
ability	67	Torrente	Spanish
ability	67	Acquaiuto	Italian
ability	67	Torrent	English
ability	68	むしのしらせ	Japanese
ability	68	벌레의알림	Korean
ability	68	蟲之預感	Chinese
ability	68	Essaim	French
ability	68	Hexaplaga	German
ability	68	Enjambre	Spanish
ability	68	Aiutinsetto	Italian
ability	68	Swarm	English
ability	69	いしあたま	Japanese
ability	69	돌머리	Korean
ability	69	堅硬腦袋	Chinese
ability	69	Tête de Roc	French
ability	69	Steinhaupt	German
ability	69	Cabeza Roca	Spanish
ability	69	Testadura	Italian
ability	69	Rock Head	English
ability	70	ひでり	Japanese
ability	70	가뭄	Korean
ability	70	日照	Chinese
ability	70	Sécheresse	French
ability	70	Dürre	German
ability	70	Sequía	Spanish
ability	70	Siccità	Italian
ability	70	Drought	English
ability	71	ありじごく	Japanese
ability	71	개미지옥	Korean
ability	71	沙穴	Chinese
ability	71	Piège Sable	French
ability	71	Ausweglos	German
ability	71	Trampa Arena	Spanish
ability	71	Trappoarena	Italian
ability	71	Arena Trap	English
ability	72	やるき	Japanese
ability	72	의기양양	Korean
ability	72	幹勁	Chinese
ability	72	Esprit Vital	French
ability	72	Munterkeit	German
ability	72	Espíritu Vital	Spanish
ability	72	Spiritovivo	Italian
ability	72	Vital Spirit	English
ability	73	しろいけむり	Japanese
ability	73	하얀연기	Korean
ability	73	白色煙霧	Chinese
ability	73	Écran Fumée	French
ability	73	Pulverrauch	German
ability	73	Humo Blanco	Spanish
ability	73	Fumochiaro	Italian
ability	73	White Smoke	English
ability	74	ヨガパワー	Japanese
ability	74	순수한힘	Korean
ability	74	瑜伽之力	Chinese
ability	74	Force Pure	French
ability	74	Mentalkraft	German
ability	74	Energía Pura	Spanish
ability	74	Forzapura	Italian
ability	74	Pure Power	English
ability	75	シェルアーマー	Japanese
ability	75	조가비갑옷	Korean
ability	75	硬殼盔甲	Chinese
ability	75	Coque Armure	French
ability	75	Panzerhaut	German
ability	75	Caparazón	Spanish
ability	75	Guscioscudo	Italian
ability	75	Shell Armor	English
ability	76	エアロック	Japanese
ability	76	에어록	Korean
ability	76	氣閘	Chinese
ability	76	Air Lock	French
ability	76	Klimaschutz	German
ability	76	Bucle Aire	Spanish
ability	76	Riparo	Italian
ability	76	Air Lock	English
ability	77	ちどりあし	Japanese
ability	77	갈지자걸음	Korean
ability	77	蹣跚	Chinese
ability	77	Pieds Confus	French
ability	77	Fußangel	German
ability	77	Tumbos	Spanish
ability	77	Intricopiedi	Italian
ability	77	Tangled Feet	English
ability	78	でんきエンジン	Japanese
ability	78	전기엔진	Korean
ability	78	電氣引擎	Chinese
ability	78	Motorisé	French
ability	78	Starthilfe	German
ability	78	Electromotor	Spanish
ability	78	Elettrorapid	Italian
ability	78	Motor Drive	English
ability	79	とうそうしん	Japanese
ability	79	투쟁심	Korean
ability	79	鬥爭心	Chinese
ability	79	Rivalité	French
ability	79	Rivalität	German
ability	79	Rivalidad	Spanish
ability	79	Antagonismo	Italian
ability	79	Rivalry	English
ability	80	ふくつのこころ	Japanese
ability	80	불굴의마음	Korean
ability	80	不屈之心	Chinese
ability	80	Impassible	French
ability	80	Felsenfest	German
ability	80	Impasible	Spanish
ability	80	Cuordeciso	Italian
ability	80	Steadfast	English
ability	81	ゆきがくれ	Japanese
ability	81	눈숨기	Korean
ability	81	雪隱	Chinese
ability	81	Rideau Neige	French
ability	81	Schneemantel	German
ability	81	Manto Níveo	Spanish
ability	81	Mantelneve	Italian
ability	81	Snow Cloak	English
ability	82	くいしんぼう	Japanese
ability	82	먹보	Korean
ability	82	貪吃鬼	Chinese
ability	82	Gloutonnerie	French
ability	82	Völlerei	German
ability	82	Gula	Spanish
ability	82	Voracità	Italian
ability	82	Gluttony	English
ability	83	いかりのつぼ	Japanese
ability	83	분노의경혈	Korean
ability	83	憤怒穴位	Chinese
ability	83	Colérique	French
ability	83	Kurzschluss	German
ability	83	Irascible	Spanish
ability	83	Grancollera	Italian
ability	83	Anger Point	English
ability	84	かるわざ	Japanese
ability	84	곡예	Korean
ability	84	輕裝	Chinese
ability	84	Délestage	French
ability	84	Entlastung	German
ability	84	Liviano	Spanish
ability	84	Agiltecnica	Italian
ability	84	Unburden	English
ability	85	たいねつ	Japanese
ability	85	내열	Korean
ability	85	耐熱	Chinese
ability	85	Ignifugé	French
ability	85	Hitzeschutz	German
ability	85	Ignífugo	Spanish
ability	85	Antifuoco	Italian
ability	85	Heatproof	English
ability	86	たんじゅん	Japanese
ability	86	단순	Korean
ability	86	單純	Chinese
ability	86	Simple	French
ability	86	Wankelmut	German
ability	86	Simple	Spanish
ability	86	Disinvoltura	Italian
ability	86	Simple	English
ability	87	かんそうはだ	Japanese
ability	87	건조피부	Korean
ability	87	乾燥皮膚	Chinese
ability	87	Peau Sèche	French
ability	87	Trockenheit	German
ability	87	Piel Seca	Spanish
ability	87	Pellearsa	Italian
ability	87	Dry Skin	English
ability	88	ダウンロード	Japanese
ability	88	다운로드	Korean
ability	88	下載	Chinese
ability	88	Télécharge	French
ability	88	Download	German
ability	88	Descarga	Spanish
ability	88	Download	Italian
ability	88	Download	English
ability	89	てつのこぶし	Japanese
ability	89	철주먹	Korean
ability	89	鐵拳	Chinese
ability	89	Poing de Fer	French
ability	89	Eisenfaust	German
ability	89	Puño Férreo	Spanish
ability	89	Ferropugno	Italian
ability	89	Iron Fist	English
ability	90	ポイズンヒール	Japanese
ability	90	포이즌힐	Korean
ability	90	毒療	Chinese
ability	90	Soin Poison	French
ability	90	Aufheber	German
ability	90	Antídoto	Spanish
ability	90	Velencura	Italian
ability	90	Poison Heal	English
ability	91	てきおうりょく	Japanese
ability	91	적응력	Korean
ability	91	適應力	Chinese
ability	91	Adaptabilité	French
ability	91	Anpassung	German
ability	91	Adaptable	Spanish
ability	91	Adattabilità	Italian
ability	91	Adaptability	English
ability	92	スキルリンク	Japanese
ability	92	스킬링크	Korean
ability	92	連續攻擊	Chinese
ability	92	Multi-Coups	French
ability	92	Wertelink	German
ability	92	Encadenado	Spanish
ability	92	Abillegame	Italian
ability	92	Skill Link	English
ability	93	うるおいボディ	Japanese
ability	93	촉촉바디	Korean
ability	93	濕潤之軀	Chinese
ability	93	Hydratation	French
ability	93	Hydration	German
ability	93	Hidratación	Spanish
ability	93	Idratazione	Italian
ability	93	Hydration	English
ability	94	サンパワー	Japanese
ability	94	선파워	Korean
ability	94	太陽之力	Chinese
ability	94	Force Soleil	French
ability	94	Solarkraft	German
ability	94	Poder Solar	Spanish
ability	94	Solarpotere	Italian
ability	94	Solar Power	English
ability	95	はやあし	Japanese
ability	95	속보	Korean
ability	95	飛毛腿	Chinese
ability	95	Pied Véloce	French
ability	95	Rasanz	German
ability	95	Pies Rápidos	Spanish
ability	95	Piedisvelti	Italian
ability	95	Quick Feet	English
ability	96	ノーマルスキン	Japanese
ability	96	노말스킨	Korean
ability	96	一般皮膚	Chinese
ability	96	Normalise	French
ability	96	Regulierung	German
ability	96	Normalidad	Spanish
ability	96	Normalità	Italian
ability	96	Normalize	English
ability	97	スナイパー	Japanese
ability	97	스나이퍼	Korean
ability	97	狙擊手	Chinese
ability	97	Sniper	French
ability	97	Superschütze	German
ability	97	Francotirador	Spanish
ability	97	Cecchino	Italian
ability	97	Sniper	English
ability	98	マジックガード	Japanese
ability	98	매직가드	Korean
ability	98	魔法防守	Chinese
ability	98	Garde Magik	French
ability	98	Magieschild	German
ability	98	Muro Mágico	Spanish
ability	98	Magicscudo	Italian
ability	98	Magic Guard	English
ability	99	ノーガード	Japanese
ability	99	노가드	Korean
ability	99	無防守	Chinese
ability	99	Annule Garde	French
ability	99	Schildlos	German
ability	99	Indefenso	Spanish
ability	99	Nullodifesa	Italian
ability	99	No Guard	English
ability	100	あとだし	Japanese
ability	100	시간벌기	Korean
ability	100	慢出	Chinese
ability	100	Frein	French
ability	100	Zeitspiel	German
ability	100	Rezagado	Spanish
ability	100	Rallentatore	Italian
ability	100	Stall	English
ability	101	テクニシャン	Japanese
ability	101	테크니션	Korean
ability	101	技術高手	Chinese
ability	101	Technicien	French
ability	101	Techniker	German
ability	101	Experto	Spanish
ability	101	Tecnico	Italian
ability	101	Technician	English
ability	102	リーフガード	Japanese
ability	102	리프가드	Korean
ability	102	葉子防守	Chinese
ability	102	Feuille Garde	French
ability	102	Floraschild	German
ability	102	Defensa Hoja	Spanish
ability	102	Fogliamanto	Italian
ability	102	Leaf Guard	English
ability	103	ぶきよう	Japanese
ability	103	서투름	Korean
ability	103	笨拙	Chinese
ability	103	Maladresse	French
ability	103	Tollpatsch	German
ability	103	Zoquete	Spanish
ability	103	Impaccio	Italian
ability	103	Klutz	English
ability	104	かたやぶり	Japanese
ability	104	틀깨기	Korean
ability	104	破格	Chinese
ability	104	Brise Moule	French
ability	104	Überbrückung	German
ability	104	Rompemoldes	Spanish
ability	104	Rompiforma	Italian
ability	104	Mold Breaker	English
ability	105	きょううん	Japanese
ability	105	대운	Korean
ability	105	超幸運	Chinese
ability	105	Chanceux	French
ability	105	Glückspilz	German
ability	105	Afortunado	Spanish
ability	105	Supersorte	Italian
ability	105	Super Luck	English
ability	106	ゆうばく	Japanese
ability	106	유폭	Korean
ability	106	引爆	Chinese
ability	106	Boom Final	French
ability	106	Finalschlag	German
ability	106	Detonación	Spanish
ability	106	Scoppio	Italian
ability	106	Aftermath	English
ability	107	きけんよち	Japanese
ability	107	위험예지	Korean
ability	107	危險預知	Chinese
ability	107	Anticipation	French
ability	107	Vorahnung	German
ability	107	Anticipación	Spanish
ability	107	Presagio	Italian
ability	107	Anticipation	English
ability	108	よちむ	Japanese
ability	108	예지몽	Korean
ability	108	預知夢	Chinese
ability	108	Prédiction	French
ability	108	Vorwarnung	German
ability	108	Alerta	Spanish
ability	108	Premonizione	Italian
ability	108	Forewarn	English
ability	109	てんねん	Japanese
ability	109	천진	Korean
ability	109	純樸	Chinese
ability	109	Inconscient	French
ability	109	Unkenntnis	German
ability	109	Ignorante	Spanish
ability	109	Imprudenza	Italian
ability	109	Unaware	English
ability	110	いろめがね	Japanese
ability	110	색안경	Korean
ability	110	有色眼鏡	Chinese
ability	110	Lentiteintée	French
ability	110	Aufwertung	German
ability	110	Cromolente	Spanish
ability	110	Lentifumé	Italian
ability	110	Tinted Lens	English
ability	111	フィルター	Japanese
ability	111	필터	Korean
ability	111	過濾	Chinese
ability	111	Filtre	French
ability	111	Filter	German
ability	111	Filtro	Spanish
ability	111	Filtro	Italian
ability	111	Filter	English
ability	112	スロースタート	Japanese
ability	112	슬로스타트	Korean
ability	112	慢啟動	Chinese
ability	112	Début Calme	French
ability	112	Saumselig	German
ability	112	Inicio Lento	Spanish
ability	112	Lentoinizio	Italian
ability	112	Slow Start	English
ability	113	きもったま	Japanese
ability	113	배짱	Korean
ability	113	膽量	Chinese
ability	113	Querelleur	French
ability	113	Rauflust	German
ability	113	Intrépido	Spanish
ability	113	Nervisaldi	Italian
ability	113	Scrappy	English
ability	114	よびみず	Japanese
ability	114	마중물	Korean
ability	114	引水	Chinese
ability	114	Lavabo	French
ability	114	Sturmsog	German
ability	114	Colector	Spanish
ability	114	Acquascolo	Italian
ability	114	Storm Drain	English
ability	115	アイスボディ	Japanese
ability	115	아이스바디	Korean
ability	115	冰凍之軀	Chinese
ability	115	Corps Gel	French
ability	115	Eishaut	German
ability	115	Gélido	Spanish
ability	115	Corpogelo	Italian
ability	115	Ice Body	English
ability	116	ハードロック	Japanese
ability	116	하드록	Korean
ability	116	堅硬岩石	Chinese
ability	116	Solide Roc	French
ability	116	Felskern	German
ability	116	Roca Sólida	Spanish
ability	116	Solidroccia	Italian
ability	116	Solid Rock	English
ability	117	ゆきふらし	Japanese
ability	117	눈퍼뜨리기	Korean
ability	117	降雪	Chinese
ability	117	Alerte Neige	French
ability	117	Hagelalarm	German
ability	117	Nevada	Spanish
ability	117	Scendineve	Italian
ability	117	Snow Warning	English
ability	118	みつあつめ	Japanese
ability	118	꿀모으기	Korean
ability	118	採蜜	Chinese
ability	118	Cherche Miel	French
ability	118	Honigmaul	German
ability	118	Recogemiel	Spanish
ability	118	Mielincetta	Italian
ability	118	Honey Gather	English
